Date,pH_int,pH_out,COD_int,COD_out,TSS_int,TSS_out,Temp_int,Temp_out,BOD5_int,BOD5_out
01/01/2015,7.2,7.8,450,30,280,15,18.5,20.1,220,25
01/15/2015,7.4,7.6,380,28,240,12,19.0,20.5,180,22
02/01/2015,7.1,7.7,500,35,320,18,17.5,19.8,260,30
02/15/2015,7.3,7.5,420,32,260,14,18.0,19.5,200,24
03/01/2015,7.5,7.9,390,29,230,11,19.2,20.8,190,21
03/15/2015,7.0,7.6,510,38,310,20,17.0,19.0,270,35
04/01/2015,7.6,7.7,370,27,220,10,20.0,21.0,175,19
04/15/2015,6.9,7.4,530,40,340,22,16.5,18.5,290,38
05/01/2015,7.4,7.8,400,31,250,13,19.5,20.6,210,26
05/15/2015,7.2,7.5,480,34,300,17,18.0,19.7,250,31
06/01/2015,7.3,7.6,440,33,270,16,18.8,20.2,230,28
06/15/2015,7.1,7.7,490,36,310,19,17.8,19.9,265,33
07/01/2015,7.5,7.8,410,30,245,12,20.5,21.5,205,25
07/15/2015,/,7.6,470,35,290,18,18.2,20.0,240,30
08/01/2015,7.4,/,430,32,265,15,19.0,20.4,225,27
08/15/2015,7.0,7.5,520,39,330,21,17.2,19.2,280,36
